soc2018_code,soc2018_title,AIOE
19-1042,"Medical Scientists, Except Epidemiologists",1.28
19-2011,Astronomers,1.374
19-2012,Physicists,1.346
19-2021,Atmospheric and Space Scientists,1.374
19-2031,Chemists,0.501
19-2032,Materials Scientists,1.033
19-2041,"Environmental Scientists and Specialists, Including Health",1.014
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.714
19-2043,Hydrologists,0.641
19-2099,"Physical Scientists, All Other",1.14
19-3011,Economists,1.404
19-3022,Survey Researchers,1.427
19-3031,"Clinical, Counseling, and School Psychologists",1.456
19-3032,Industrial-Organizational Psychologists,1.402
19-3039,"Psychologists, All Other",1.39
19-3041,Sociologists,1.411
19-3051,Urban and Regional Planners,1.228
19-3091,Anthropologists and Archeologists,0.697
19-3092,Geographers,1.436
19-3093,Historians,1.099
19-3094,Political Scientists,1.419
19-3099,"Social Scientists and Related Workers, All Other",1.328
19-4011,Agricultural and Food Science Technicians,0.096
19-4021,Biological Technicians,0.301
19-4031,Chemical Technicians,0.063
19-4041,Geological and Petroleum Technicians,0.083
19-4051,Nuclear Technicians,0.17
19-4061,Social Science Research Assistants,1.205
19-4091,"Environmental Science and Protection Technicians, Including Health",0.017
19-4092,Forensic Science Technicians,0.24
19-4093,Forest and Conservation Technicians,-0.667
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.45
21-1011,Substance Abuse and Behavioral Disorder Counselors,1.031
21-1012,"Educational, Vocational, and School Counselors",0.974
21-1013,Marriage and Family Therapists,1.367
21-1014,Mental Health Counselors,1.342
21-1015,Rehabilitation Counselors,0.503
21-1021,"Child, Family, and School Social Workers",0.776
21-1022,Medical and Public Health Social Workers,0.934
21-1023,Mental Health and Substance Abuse Social Workers,1.119
21-1091,Health Educators,0.692
21-1092,Probation Officers and Correctional Treatment Specialists,0.527
21-1093,Social and Human Service Assistants,0.465
21-1094,Community Health Workers,0.037
21-2011,Clergy,1.283
21-2021,"Directors, Religious Activities and Education",1.211
23-1011,Lawyers,1.329
23-1012,Judicial Law Clerks,1.463
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.375
23-1022,"Arbitrators, Mediators, and Conciliators",1.432
23-1023,"Judges, Magistrate Judges, and Magistrates",1.496
23-2011,Paralegals and Legal Assistants,1.292
23-2091,Court Reporters,0.835
23-2093,"Title Examiners, Abstractors, and Searchers",1.28
25-1011,"Business Teachers, Postsecondary",1.349
25-1021,"Computer Science Teachers, Postsecondary",1.278
25-1022,"Mathematical Science Teachers, Postsecondary",1.339
25-1031,"Architecture Teachers, Postsecondary",1.222
25-1032,"Engineering Teachers, Postsecondary",1.351
25-1041,"Agricultural Sciences Teachers, Postsecondary",0.755
25-1042,"Biological Science Teachers, Postsecondary",1.228
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1.26
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.306
25-1052,"Chemistry Teachers, Postsecondary",1.334
25-1053,"Environmental Science Teachers, Postsecondary",1.348
25-1054,"Physics Teachers, Postsecondary",1.044
25-1061,"Anthropology and Archeology Teachers, Postsecondary",1.322
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.309
25-1063,"Economics Teachers, Postsecondary",1.319
25-1064,"Geography Teachers, Postsecondary",1.319
25-1065,"Political Science Teachers, Postsecondary",1.368
25-1066,"Psychology Teachers, Postsecondary",1.334
25-1067,"Sociology Teachers, Postsecondary",1.349
25-1071,"Health Specialties Teachers, Postsecondary",0.925
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.517
25-1081,"Education Teachers, Postsecondary",1.193
25-1082,"Library Science Teachers, Postsecondary",1.386
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.39
25-1112,"Law Teachers, Postsecondary",1.356
25-1113,"Social Work Teachers, Postsecondary",1.347
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.758
25-1122,"Communications Teachers, Postsecondary",1.347
25-1123,"English Language and Literature Teachers, Postsecondary",1.418
25-1124,"Foreign Language and Literature Teachers, Postsecondary",1.334
25-1125,"History Teachers, Postsecondary",1.437
25-1126,"Philosophy and Religion Teachers, Postsecondary",1.364
25-1191,Graduate Teaching Assistants,1.111
25-1192,"Home Economics Teachers, Postsecondary",1.212
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1.165
25-1194,"Vocational Education Teachers, Postsecondary",0.162
25-2011,"Preschool Teachers, Except Special Education",0.031
25-2012,"Kindergarten Teachers, Except Special Education",0.364
25-2021,"Elementary School Teachers, Except Special Education",0.887
25-2022,"Middle School Teachers, Except Special and Vocational Education",1.286
25-2023,"Vocational Education Teachers, Middle School",0.52
25-2031,"Secondary School Teachers, Except Special and Vocational Education",1.191
25-2032,"Vocational Education Teachers, Secondary School",0.373
25-2051,"Special Education Teachers, Preschool",0.375
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.736
25-2053,"Special Education Teachers, Middle School",1.296
25-2054,"Special Education Teachers, Secondary School",0.959
25-2059,"Special Education Teachers, All Other",-0.663
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",1.349
25-3021,Self-Enrichment Education Teachers,0.526
25-3099,"Teachers and Instructors, All Other",1.325
25-4011,Archivists,0.677
25-4012,Curators,0.737
25-4013,Museum Technicians and Conservators,-0.091
25-4021,Librarians,1.037
25-4031,Library Technicians,0.038
25-9011,Audio-Visual Collections Specialists,0.451
25-9021,Farm and Home Management Advisors,0.86
25-9031,Instructional Coordinators,1.302
25-9041,Teacher Assistants,0.452
27-1011,Art Directors,1.023
27-1012,Craft Artists,-0.93
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.569
27-1014,Multi-Media Artists and Animators,0.706
27-1021,Commercial and Industrial Designers,0.867
27-1022,Fashion Designers,0.58
27-1023,Floral Designers,-0.272
27-1024,Graphic Designers,0.716
27-1025,Interior Designers,1.122
27-1026,Merchandise Displayers and Window Trimmers,-1.001
27-1027,Set and Exhibit Designers,-0.052
27-2011,Actors,0.159
27-2012,Producers and Directors,0.939
27-2021,Athletes and Sports Competitors,-1.814
27-2022,Coaches and Scouts,0.117
27-2023,"Umpires, Referees, and Other Sports Officials",-0.033
27-2031,Dancers,-2.67
27-2032,Choreographers,-1.576
27-2041,Music Directors and Composers,0.883
27-2042,Musicians and Singers,-0.004
27-3011,Radio and Television Announcers,0.849
27-3012,Public Address System and Other Announcers,0.665
27-3021,Broadcast News Analysts,1.164
27-3022,Reporters and Correspondents,1.187
27-3031,Public Relations Specialists,1.285
27-3041,Editors,1.128
27-3042,Technical Writers,1.184
27-3043,Writers and Authors,0.988
27-3091,Interpreters and Translators,1.111
27-4011,Audio and Video Equipment Technicians,-0.012
27-4012,Broadcast Technicians,0.122
27-4013,Radio Operators,0.926
27-4014,Sound Engineering Technicians,0.472
27-4021,Photographers,-0.168
27-4031,"Camera Operators, Television, Video, and Motion Picture",-0.447
27-4032,Film and Video Editors,0.986
29-1011,Chiropractors,-0.191
29-1021,"Dentists, General",-0.181
29-1022,Oral and Maxillofacial Surgeons,-0.239
29-1023,Orthodontists,0.162
29-1024,Prosthodontists,-0.156
29-1031,Dietitians and Nutritionists,1.343
29-1041,Optometrists,0.504
29-1051,Pharmacists,0.606
29-1061,Anesthesiologists,0.235
29-1062,Family and General Practitioners,1.032
29-1063,"Internists, General",1.046
29-1064,Obstetricians and Gynecologists,0.28
29-1065,"Pediatricians, General",1.126
29-1066,Psychiatrists,1.281
29-1067,Surgeons,-0.05
29-1069,"Physicians and Surgeons, All Other",0.709
29-1071,Physician Assistants,0.106
29-1081,Podiatrists,0.628
29-1122,Occupational Therapists,0.115
29-1123,Physical Therapists,-0.358
29-1124,Radiation Therapists,-0.219
29-1125,Recreational Therapists,0.219
29-1126,Respiratory Therapists,-0.188
29-1127,Speech-Language Pathologists,1.146
29-1128,Exercise Physiologists,-0.033
29-1131,Veterinarians,-0.075
29-1141,Registered Nurses,0.229
29-1151,Nurse Anesthetists,0.241
29-1161,Nurse Midwives,0.197
29-1171,Nurse Practitioners,0.19
29-1181,Audiologists,0.633
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.711
29-2011,Medical and Clinical Laboratory Technologists,0.282
29-2012,Medical and Clinical Laboratory Technicians,-0.127
29-2021,Dental Hygienists,-0.417
29-2031,Cardiovascular Technologists and Technicians,-0.091
29-2032,Diagnostic Medical Sonographers,-0.264
29-2033,Nuclear Medicine Technologists,0.086
29-2034,Radiologic Technologists and Technicians,-0.556
29-2035,Magnetic Resonance Imaging Technologists,-0.073
29-2041,Emergency Medical Technicians and Paramedics,-0.686
29-2051,Dietetic Technicians,-0.126
29-2052,Pharmacy Technicians,0.007
29-2053,Psychiatric Technicians,-0.22
29-2054,Respiratory Therapy Technicians,-0.106
29-2055,Surgical Technologists,-0.483
29-2056,Veterinary Technologists and Technicians,-0.362
29-2057,Ophthalmic Medical Technicians,0.079
29-2061,Licensed Practical and Licensed Vocational Nurses,-0.514
29-2071,Medical Records and Health Information Technicians,0.574
29-2081,"Opticians, Dispensing",0.101
29-2091,Orthotists and Prosthetists,0.067
29-2092,Hearing Aid Specialists,0.565
29-2099,"Health Technologists and Technicians, All Other",-0.284
29-9011,Occupational Health and Safety Specialists,0.835
29-9012,Occupational Health and Safety Technicians,0.4
29-9091,Athletic Trainers,-0.331
29-9092,Genetic Counselors,1.528
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.23
31-1011,Home Health Aides,-0.645
31-1013,Psychiatric Aides,-0.497
31-1014,Nursing Assistants,-0.904
31-1015,Orderlies,-1.679
31-2011,Occupational Therapist Assistants,-0.315
31-2012,Occupational Therapist Aides,-0.773
31-2021,Physical Therapist Assistants,-0.531
31-2022,Physical Therapist Aides,-0.882
31-9011,Massage Therapists,-1.41
31-9091,Dental Assistants,-0.527
31-9092,Medical Assistants,0.15
31-9093,Medical Equipment Preparers,-0.731
31-9094,Medical Transcriptionists,1.063
31-9095,Pharmacy Aides,-0.155
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-0.774
31-9097,Phlebotomists,-0.278
31-9099,"Healthcare Support Workers, All Other",0.166
33-1011,First-Line Supervisors/Managers of Correctional Officers,-0.558
33-1012,First-Line Supervisors/Managers of Police and Detectives,-0.192
33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,-0.593
33-2011,Fire Fighters,-1.32
33-2021,Fire Inspectors and Investigators,0.063
33-2022,Forest Fire Inspectors and Prevention Specialists,-0.214
33-3011,Bailiffs,-0.51
33-3012,Correctional Officers and Jailers,-0.888
33-3021,Detectives and Criminal Investigators,0.226
33-3031,Fish and Game Wardens,-0.459
33-3041,Parking Enforcement Workers,-0.624
33-3051,Police and Sheriff's Patrol Officers,-0.668
33-3052,Transit and Railroad Police,-0.821
33-9011,Animal Control Workers,-0.595
33-9021,Private Detectives and Investigators,0.748
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.728
33-9032,Security Guards,-0.391
33-9091,Crossing Guards,-0.57
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.472
33-9093,Transportation Security Screeners,-0.507
33-9099,"Protective Service Workers, All Other",0.076
35-1011,Chefs and Head Cooks,-0.268
35-1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,-0.258
35-2011,"Cooks, Fast Food",-0.713
35-2012,"Cooks, Institution and Cafeteria",-0.636
35-2013,"Cooks, Private Household",-0.787
35-2014,"Cooks, Restaurant",-0.742
35-2015,"Cooks, Short Order",-0.593
35-2021,Food Preparation Workers,-1.226
35-3011,Bartenders,-0.616
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",-0.531
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-0.485
35-3031,Waiters and Waitresses,-0.948
35-3041,"Food Servers, Nonrestaurant",-0.727
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.927
35-9021,Dishwashers,-1.739
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",-0.057
37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,-0.585
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",-0.555
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.436
37-2012,Maids and Housekeeping Cleaners,-1.481
37-2021,Pest Control Workers,-0.726
37-3011,Landscaping and Groundskeeping Workers,-1.824
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.885
37-3013,Tree Trimmers and Pruners,-1.727
39-1011,Gaming Supervisors,1.128
39-1012,Slot Key Persons,-0.137
39-1021,First-Line Supervisors/Managers of Personal Service Workers,0.43
39-2011,Animal Trainers,-0.917
39-2021,Nonfarm Animal Caretakers,-0.889
39-3011,Gaming Dealers,0.061
39-3012,Gaming and Sports Book Writers and Runners,0.465
39-3021,Motion Picture Projectionists,-0.379
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",-0.242
39-3091,Amusement and Recreation Attendants,-0.525
39-3092,Costume Attendants,-0.453
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",-0.345
39-4011,Embalmers,-0.731
39-4021,Funeral Attendants,-0.545
39-4031,"Morticians, Undertakers, and Funeral Directors",-0.19
39-5011,Barbers,-0.729
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",-0.682
39-5091,"Makeup Artists, Theatrical and Performance",-0.46
39-5092,Manicurists and Pedicurists,0.034
39-5093,Shampooers,-0.905
39-5094,Skin Care Specialists,-0.263
39-6011,Baggage Porters and Bellhops,-1.272
39-6012,Concierges,0.856
39-7011,Tour Guides and Escorts,0.357
39-7012,Travel Guides,0.608
39-9011,Child Care Workers,-0.383
39-9021,Personal and Home Care Aides,-0.574
39-9031,Fitness Trainers and Aerobics Instructors,-2.112
39-9032,Recreation Workers,-0.244
39-9041,Residential Advisors,0.475
41-1011,First-Line Supervisors/Managers of Retail Sales Workers,0.019
41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers,1.316
41-2011,Cashiers,-0.248
41-2012,Gaming Change Persons and Booth Cashiers,-0.05
41-2021,Counter and Rental Clerks,0.078
41-2022,Parts Salespersons,-0.118
41-2031,Retail Salespersons,0.087
41-3011,Advertising Sales Agents,1.163
41-3021,Insurance Sales Agents,1.341
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.256
41-3041,Travel Agents,1.134
41-3099,"Sales Representatives, Services, All Other",1.303
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.891
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.822
41-9011,Demonstrators and Product Promoters,0.124
41-9012,Models,-1.122
41-9021,Real Estate Brokers,1.15
41-9022,Real Estate Sales Agents,0.865
41-9031,Sales Engineers,1.145
41-9041,Telemarketers,1.118
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.107
43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers,1.039
43-2011,"Switchboard Operators, Including Answering Service",0.983
43-2021,Telephone Operators,1.02
43-3011,Bill and Account Collectors,1.272
43-3021,Billing and Posting Clerks and Machine Operators,1.333
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1.04
43-3041,Gaming Cage Workers,0.403
43-3051,Payroll and Timekeeping Clerks,1.258
43-3061,Procurement Clerks,1.488
43-3071,Tellers,0.473
43-4011,Brokerage Clerks,1.145
43-4021,Correspondence Clerks,1.15
43-4031,"Court, Municipal, and License Clerks",1.166
43-4041,"Credit Authorizers, Checkers, and Clerks",1.44
43-4051,Customer Service Representatives,0.956
43-4061,"Eligibility Interviewers, Government Programs",1.226
43-4071,File Clerks,0.284
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.606
43-4111,"Interviewers, Except Eligibility and Loan",1.297
43-4121,"Library Assistants, Clerical",0.204
43-4131,Loan Interviewers and Clerks,1.364
43-4141,New Accounts Clerks,1.175
43-4151,Order Clerks,0.839
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",1.353
43-4171,Receptionists and Information Clerks,1.013
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.227
43-5011,Cargo and Freight Agents,1.405
43-5021,Couriers and Messengers,-0.959
43-5031,"Police, Fire, and Ambulance Dispatchers",0.907
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1.235
43-5041,"Meter Readers, Utilities",-0.972
43-5051,Postal Service Clerks,-0.519
43-5052,Postal Service Mail Carriers,-1.065
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.185
43-5061,"Production, Planning, and Expediting Clerks",0.7
43-5071,"Shipping, Receiving, and Traffic Clerks",-0.746
43-5081,Stock Clerks and Order Fillers,-0.789
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-0.186
43-6011,Executive Secretaries and Administrative Assistants,1.08
43-6012,Legal Secretaries,1.015
43-6013,Medical Secretaries,1.218
43-6014,"Secretaries, Except Legal, Medical, and Executive",1.099
43-9011,Computer Operators,0.704
43-9021,Data Entry Keyers,0.311
43-9022,Word Processors and Typists,0.622
43-9031,Desktop Publishers,0.344
43-9041,Insurance Claims and Policy Processing Clerks,1.24
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",-0.818
43-9061,"Office Clerks, General",0.989
43-9071,"Office Machine Operators, Except Computer",-0.517
43-9081,Proofreaders and Copy Markers,1.288
43-9111,Statistical Assistants,1.39
45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",-0.479
45-2011,Agricultural Inspectors,0.17
45-2021,Animal Breeders,-1.044
45-2041,"Graders and Sorters, Agricultural Products",-1.371
45-2091,Agricultural Equipment Operators,-1.145
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.601
45-2093,"Farmworkers, Farm and Ranch Animals",-1.108
45-3011,Fishers and Related Fishing Workers,-1.513
45-3021,Hunters and Trappers,-1.305
45-4011,Forest and Conservation Workers,-1.064
45-4021,Fallers,-1.795
45-4022,Logging Equipment Operators,-1.004
45-4023,Log Graders and Scalers,-0.477
47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,-0.305
47-2011,Boilermakers,-1.098
47-2021,Brickmasons and Blockmasons,-1.754
47-2022,Stonemasons,-1.715
47-2031,Carpenters,-1.324
47-2041,Carpet Installers,-1.565
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.301
47-2043,Floor Sanders and Finishers,-1.749
47-2044,Tile and Marble Setters,-1.225
47-2051,Cement Masons and Concrete Finishers,-1.777
47-2053,Terrazzo Workers and Finishers,-1.776
47-2061,Construction Laborers,-1.623
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",-1.185
47-2072,Pile-Driver Operators,-1.22
47-2073,Operating Engineers and Other Construction Equipment Operators,-0.882
47-2081,Drywall and Ceiling Tile Installers,-1.648
47-2082,Tapers,-1.541
47-2111,Electricians,-0.78
47-2121,Glaziers,-1.389
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",-1.619
47-2132,"Insulation Workers, Mechanical",-1.269
47-2141,"Painters, Construction and Maintenance",-1.588
47-2142,Paperhangers,-1.728
47-2151,Pipelayers,-1.226
47-2152,"Plumbers, Pipefitters, and Steamfitters",-1.121
47-2161,Plasterers and Stucco Masons,-1.756
47-2171,Reinforcing Iron and Rebar Workers,-1.971
47-2181,Roofers,-1.753
47-2211,Sheet Metal Workers,-1.175
47-2221,Structural Iron and Steel Workers,-1.78
47-2231,Solar Photovoltaic Installers,-0.944
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.942
47-3012,Helpers--Carpenters,-1.425
47-3013,Helpers--Electricians,-1.507
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.045
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.679
47-3016,Helpers--Roofers,-1.898
47-4011,Construction and Building Inspectors,0.286
47-4021,Elevator Installers and Repairers,-0.86
47-4031,Fence Erectors,-1.902
47-4041,Hazardous Materials Removal Workers,-0.689
47-4051,Highway Maintenance Workers,-1.279
47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.399
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.211
47-4091,Segmental Pavers,-0.983
47-4099,"Construction and Related Workers, All Other",-0.873
47-5011,"Derrick Operators, Oil and Gas",-1.415
47-5012,"Rotary Drill Operators, Oil and Gas",-0.774
47-5013,"Service Unit Operators, Oil, Gas, and Mining",-0.972
47-5021,"Earth Drillers, Except Oil and Gas",-0.702
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.773
47-5041,Continuous Mining Machine Operators,-1.165
47-5042,Mine Cutting and Channeling Machine Operators,-1.2
47-5051,"Rock Splitters, Quarry",-1.763
47-5061,"Roof Bolters, Mining",-1.619
47-5071,"Roustabouts, Oil and Gas",-1.519
47-5081,Helpers--Extraction Workers,-1.543
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",-0.021
49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.346
49-2021,Radio Mechanics,-0.634
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.853
49-2091,Avionics Technicians,-0.173
49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.811
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.83
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.463
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.552
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.792
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,-0.571
49-2098,Security and Fire Alarm Systems Installers,-0.693
49-3011,Aircraft Mechanics and Service Technicians,-0.655
49-3021,Automotive Body and Related Repairers,-1.181
49-3022,Automotive Glass Installers and Repairers,-1.202
49-3023,Automotive Service Technicians and Mechanics,-0.955
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.01
49-3041,Farm Equipment Mechanics,-1.207
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.17
49-3043,Rail Car Repairers,-1.448
49-3051,Motorboat Mechanics,-0.886
49-3052,Motorcycle Mechanics,-0.764
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.894
