soc2018_title,soc2018_code,employment_2024_thousands,employment_2034_thousands,employment_change_24to34_thousands,employment_change_24to34_percent,employment_change_24to34_thousands_annual_average,median_annual_wage_2024,typical_entry_level_edu,education_code,work_experience_in_a_related_occupation,work_exp_code,typical_ojt,ojt_code
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,149.7,158.4,8.7,5.8,42.7,33720,No formal educational credential,8,None,4,Short-term on-the-job training,5
Waiters and waitresses,35-3031,2329.7,2313.5,-16.3,-0.7,456.7,33760,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Sewers, hand",51-6051,5.4,5,-0.4,-7,0.7,33760,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Laundry and dry-cleaning workers,51-6011,202.6,213.5,10.9,5.4,31.9,33800,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Pressers, textile, garment, and related materials",51-6021,28.4,24.6,-3.8,-13.5,2.8,33880,No formal educational credential,8,None,4,Short-term on-the-job training,5
Food preparation workers,35-2021,902.7,871.8,-30.9,-3.4,148,34220,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Hotel, motel, and resort desk clerks",43-4081,264.2,274,9.9,3.7,43.6,34270,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,12.3,12.1,-0.2,-1.3,1.4,34330,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Telemarketers,41-9041,67.4,52.5,-14.9,-22.1,6.5,34410,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Food servers, nonrestaurant",35-3041,277.2,285.3,8.2,3,48,34460,No formal educational credential,8,None,4,Short-term on-the-job training,5
Physical therapist aides,31-2022,45.6,46.9,1.3,2.8,6.6,34520,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Gambling service workers, all other",39-3019,16.1,16,-0.1,-0.6,2.6,34530,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,25.3,22.8,-2.5,-10,2.7,34530,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Entertainment attendants and related workers, all other",39-3099,8.5,8.8,0.3,3.6,2.2,34550,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Retail salespersons,41-2031,3936.7,3917.1,-19.6,-0.5,555.8,34580,No formal educational credential,8,None,4,Short-term on-the-job training,5
Parking attendants,53-6021,135.7,139.8,4,3,18.5,34600,No formal educational credential,8,None,4,Short-term on-the-job training,5
Funeral attendants,39-4021,32.5,33.5,1,3.1,5.7,34610,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Manicurists and pedicurists,39-5092,210.1,224.8,14.7,7,24.8,34660,Postsecondary nondegree award,5,None,4,None,6
Maids and housekeeping cleaners,37-2012,1356.8,1362.8,6,0.4,193.5,34660,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Locker room, coatroom, and dressing room attendants",39-3093,15.6,16.6,1,6.4,4.2,34800,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Gambling change persons and booth cashiers,41-2012,22.6,21.1,-1.5,-6.4,4,34810,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Food preparation and serving related workers, all other",35-9099,90.5,96.3,5.8,6.4,14.6,34830,No formal educational credential,8,None,4,Short-term on-the-job training,5
Automotive and watercraft service attendants,53-6031,100,99,-1,-1,14.4,34850,No formal educational credential,8,None,4,Short-term on-the-job training,5
Home health and personal care aides,31-1120,4347.7,5087.5,739.8,17,765.8,34900,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
School bus monitors,33-9094,71.4,69.5,-2,-2.7,12.6,34980,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Teaching assistants, except postsecondary",25-9045,1422.8,1401.7,-21.1,-1.5,170.4,35240,"Some college, no degree",6,None,4,None,6
"Hairdressers, hairstylists, and cosmetologists",39-5012,575.2,607.4,32.2,5.6,75.8,35250,Postsecondary nondegree award,5,None,4,None,6
Cleaners of vehicles and equipment,53-7061,410.1,426.2,16,3.9,56.2,35270,No formal educational credential,8,None,4,Short-term on-the-job training,5
Recreation workers,39-9032,327.7,341.1,13.4,4.1,68.1,35380,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Graders and sorters, agricultural products",45-2041,38.9,36.8,-2.1,-5.4,5.1,35430,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Packers and packagers, hand",53-7064,591.8,559.7,-32.2,-5.4,74,35580,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, short order",35-2015,151.1,142.7,-8.4,-5.6,20.6,35620,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,504.8,488.1,-16.8,-3.3,71.7,35690,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,2447.7,2495.5,47.8,2,351.3,35930,No formal educational credential,8,None,4,Short-term on-the-job training,5
Shoe and leather workers and repairers,51-6041,9.5,9.1,-0.4,-3.8,0.9,35950,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Sewing machine operators,51-6031,124,110.7,-13.3,-10.8,13,36000,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Library assistants, clerical",43-4121,84.5,78.9,-5.6,-6.7,12.8,36010,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Baggage porters and bellhops,39-6011,32.5,32,-0.5,-1.6,4.6,36020,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Floral designers,27-1023,43.8,41.2,-2.6,-5.9,5.1,36120,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,224.6,213.4,-11.1,-5,31.2,36150,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, all other",35-2019,24,25.3,1.3,5.5,3.7,36210,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Taxi drivers,53-3054,204,226.6,22.6,11.1,22.6,36220,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Motor vehicle operators, all other",53-3099,79.3,84,4.7,6,11.1,36260,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, institution and cafeteria",35-2012,466.1,475.4,9.3,2,69.7,36450,No formal educational credential,8,None,4,Short-term on-the-job training,5
Bakers,51-3011,249.1,263.2,14,5.6,39.9,36650,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Tour and travel guides,39-7010,55.8,60.3,4.5,8.1,13,36660,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Shuttle drivers and chauffeurs,53-3053,243.9,260.3,16.4,6.7,36.3,36670,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, restaurant",35-2014,1460.2,1677.2,217,14.9,250.7,36830,No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,4
Gambling cage workers,43-3041,14.1,13.4,-0.7,-5,1.3,36990,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Pharmacy aides,31-9095,41.1,41.1,-0.1,-0.1,6.1,37000,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile, apparel, and furnishings workers, all other",51-6099,14.7,13.3,-1.4,-9.4,1.7,37010,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Dietetic technicians,29-2051,30.9,31.7,0.8,2.5,4,37040,Associate's degree,4,None,4,None,6
Stockers and order fillers,53-7065,2764.8,2999.8,235,8.5,472.3,37090,No formal educational credential,8,None,4,Short-term on-the-job training,5
Tire repairers and changers,49-3093,113.4,119.9,6.5,5.7,15.3,37120,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Preschool teachers, except special education",25-2011,555.1,578.1,22.9,4.1,65.5,37120,Associate's degree,4,None,4,None,6
Driver/sales workers,53-3031,451.5,491.3,39.8,8.8,51.3,37130,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Receptionists and information clerks,43-4171,1007.2,1007.6,0.3,0,128.5,37230,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Veterinary assistants and laboratory animal caretakers,31-9096,117.8,128.1,10.3,8.7,22.2,37320,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Concierges,39-6012,45.6,46.7,1.1,2.3,6.8,37320,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Textile bleaching and dyeing machine operators and tenders,51-6061,6.2,5.5,-0.6,-10.1,0.7,37320,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Merchandise displayers and window trimmers,27-1026,193,199.3,6.2,3.2,20.8,37350,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Occupational therapy aides,31-2012,5.2,5.3,0.1,2.5,0.6,37370,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Parts salespersons,41-2022,272.1,280.6,8.5,3.1,30.2,37440,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Medical transcriptionists,31-9094,43.9,41.8,-2.2,-4.9,7.4,37550,Postsecondary nondegree award,5,None,4,None,6
Passenger attendants,53-6061,25.6,26.8,1.2,4.7,4.1,37560,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,21.7,19.8,-1.9,-9,2.5,37660,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Meat, poultry, and fish cutters and trimmers",51-3022,146.8,154.9,8.1,5.5,18.4,37700,No formal educational credential,8,None,4,Short-term on-the-job training,5
Crossing guards and flaggers,33-9091,91.4,94.7,3.3,3.6,18,37700,No formal educational credential,8,None,4,Short-term on-the-job training,5
Orderlies,31-1132,54,55.8,1.8,3.3,7.8,37700,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Personal care and service workers, all other",39-9099,94.4,100.4,6,6.4,16.1,37900,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile cutting machine setters, operators, and tenders",51-6062,9.3,8.2,-1.1,-11.7,1,37940,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Demonstrators and product promoters,41-9011,79.2,79.1,-0.1,-0.1,14,37960,No formal educational credential,8,None,4,Short-term on-the-job training,5
Landscaping and groundskeeping workers,37-3011,1192.5,1235,42.4,3.6,158.2,38090,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,7.4,7.6,0.2,2.3,0.8,38140,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Mail clerks and mail machine operators, except postal service",43-9051,67.4,62.9,-4.4,-6.6,6.9,38150,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Shoe machine operators and tenders,51-6042,4.1,3.9,-0.2,-3.7,0.4,38160,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Motion picture projectionists,39-3021,2,2,-0.1,-3.7,0.5,38180,No formal educational credential,8,None,4,Short-term on-the-job training,5
Helpers--production workers,51-9198,168.5,153.5,-15,-8.9,23.6,38220,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,15.3,13.6,-1.7,-11.2,1.7,38260,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Couriers and messengers,43-5021,247.2,267.6,20.4,8.2,27.9,38340,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Security guards,33-9032,1262.1,1267.1,5.1,0.4,161,38370,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Switchboard operators, including answering service",43-2011,36.6,27,-9.6,-26.3,2.8,38370,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Food processing workers, all other",51-3099,58.7,61.8,3.1,5.3,6.5,38420,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Ophthalmic laboratory technicians,51-9083,19.6,20,0.5,2.3,2.4,38420,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Substitute teachers, short-term",25-3031,510.1,518.5,8.4,1.6,61.1,38470,Bachelor's degree,3,None,4,None,6
Craft artists,27-1012,11.6,11.9,0.2,2.1,1,38480,No formal educational credential,8,None,4,Long-term on-the-job training,3
Counter and rental clerks,41-2021,408.2,421.3,13.1,3.2,45.9,38540,No formal educational credential,8,None,4,Short-term on-the-job training,5
Animal trainers,39-2011,47.3,49.8,2.4,5.1,7.1,38750,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Cutters and trimmers, hand",51-9031,7,5.7,-1.3,-18.1,0.6,38800,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Umpires, referees, and other sports officials",27-2023,19.3,20.4,1.1,5.7,4.6,38820,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Production workers, all other",51-9199,292.8,294.3,1.5,0.5,31.6,38820,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Helpers--installation, maintenance, and repair workers",49-9098,98.7,101,2.2,2.3,11.8,38860,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Laborers and freight, stock, and material movers, hand",53-7062,2988.9,3033.1,44.3,1.5,384.3,38940,No formal educational credential,8,None,4,Short-term on-the-job training,5
Barbers,39-5011,76,79.2,3.1,4.1,8.4,38960,Postsecondary nondegree award,5,None,4,None,6
Butchers and meat cutters,51-3021,143.1,144.5,1.4,1,16.9,38960,No formal educational credential,8,None,4,Long-term on-the-job training,3
"Office machine operators, except computer",43-9071,25.5,21.6,-3.9,-15.2,2.8,39020,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Telephone operators,43-2021,4,2.9,-1.1,-27.5,0.3,39130,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Residential advisors,39-9041,91.2,94.7,3.5,3.8,17.4,39180,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,45.3,47.5,2.2,4.9,4.9,39270,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Tellers,43-3071,347.4,302.5,-44.9,-12.9,29.8,39340,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Nursing assistants,31-1131,1441.5,1474,32.6,2.3,204.1,39530,Postsecondary nondegree award,5,None,4,None,6
"Transportation workers, all other",53-6099,11.5,11.9,0.4,3.8,1.2,39630,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Machine feeders and offbearers,53-7063,46.5,40.4,-6,-13,4.7,39700,No formal educational credential,8,None,4,Short-term on-the-job training,5
Slaughterers and meat packers,51-3023,69.6,71.2,1.5,2.2,8.4,39790,No formal educational credential,8,None,4,Short-term on-the-job training,5
Print binding and finishing workers,51-5113,35.8,30,-5.8,-16.1,2.8,39820,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Data entry keyers,43-9021,141.6,104.9,-36.7,-25.9,9.5,39850,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Helpers--electricians,47-3013,66.6,66.7,0.1,0.2,6.8,39890,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Sawing machine setters, operators, and tenders, wood",51-7041,45,44.7,-0.3,-0.6,4.8,39950,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Library technicians,25-4031,78.6,73.2,-5.4,-6.8,13,39970,Postsecondary nondegree award,5,None,4,None,6
Tutors,25-3041,215.5,216.8,1.3,0.6,37.1,40090,"Some college, no degree",6,None,4,None,6
Photographic process workers and processing machine operators,51-9151,11.2,10.9,-0.3,-2.6,1.5,40100,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Cooling and freezing equipment operators and tenders,51-9193,7.1,7.6,0.5,7.2,0.8,40160,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bicycle repairers,49-3091,13.2,12.9,-0.3,-2.3,1.6,40360,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Agricultural workers, all other",45-2099,10.1,10.3,0.2,2.3,1.5,40390,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,63.1,61.9,-1.1,-1.8,6.4,40440,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Etchers and engravers,51-9194,8.6,8.6,-0.1,-0.7,0.9,40450,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Food cooking machine operators and tenders,51-3093,29.7,29.9,0.2,0.6,4.4,40550,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Helpers--roofers,47-3016,5.2,5.5,0.3,5.7,0.6,40590,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Helpers, construction trades, all other",47-3019,26.3,27.4,1.2,4.4,2.8,40760,No formal educational credential,8,None,4,Short-term on-the-job training,5
Food batchmakers,51-3092,173.5,185.4,11.9,6.9,24.2,40790,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Timing device assemblers and adjusters,51-2061,0.2,0.2,0,-17.5,0,40790,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Painting, coating, and decorating workers",51-9123,8.8,8.9,0.1,1.4,0.8,40860,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Tailors, dressmakers, and custom sewers",51-6052,38.8,37.1,-1.7,-4.5,5,40860,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Packaging and filling machine operators and tenders,51-9111,381.2,398.2,17,4.5,45.3,40900,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Manufactured building and mobile home installers,49-9095,3.1,3.3,0.2,5.9,0.3,41080,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Woodworkers, all other",51-7099,17.6,16.8,-0.8,-4.4,1.8,41220,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Conveyor operators and tenders,53-7011,29.1,28.1,-1,-3.4,2.6,41230,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,154.6,148.8,-5.8,-3.8,15.9,41230,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
File clerks,43-4071,84.3,70.9,-13.4,-15.9,7.3,41270,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Emergency medical technicians,29-2042,181,190.2,9.2,5.1,14.1,41340,Postsecondary nondegree award,5,None,4,None,6
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,14.6,15.2,0.5,3.6,1.6,41460,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Reservation and transportation ticket agents and travel clerks,43-4181,131.9,135.6,3.7,2.8,14.4,41460,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Aircraft service attendants,53-6032,28,29.5,1.4,5.1,4.3,41540,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Skincare specialists,39-5094,97.4,103.9,6.6,6.7,14.5,41560,Postsecondary nondegree award,5,None,4,None,6
Psychiatric aides,31-1133,38.5,38.3,-0.1,-0.4,5.3,41590,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Helpers--carpenters,47-3012,25.2,26.4,1.1,4.5,2.7,41600,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Protective service workers, all other",33-9099,84,86.1,2.1,2.5,23.3,41600,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,31.7,27.4,-4.3,-13.6,2.5,41600,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Material moving workers, all other",53-7199,27.7,28.9,1.2,4.3,3.1,41690,No formal educational credential,8,None,4,Short-term on-the-job training,5
"Grinding and polishing workers, hand",51-9022,11.8,9.3,-2.5,-21.2,0.8,41690,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
First-line supervisors of food preparation and serving workers,35-1012,1215,1288,73,6,183.9,42010,High school diploma or equivalent,7,Less than 5 years,2,None,6
Miscellaneous assemblers and fabricators,51-2090,1467.1,1465.9,-1.3,-0.1,156.3,42210,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Building cleaning workers, all other",37-2019,18.1,18.5,0.5,2.5,2.6,42360,No formal educational credential,8,None,4,Short-term on-the-job training,5
Photographers,27-4021,151.2,154,2.8,1.8,12.7,42520,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Furniture finishers,51-7021,20.5,19.8,-0.7,-3.3,2,42530,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Agricultural equipment operators,45-2091,65.2,70.3,5,7.7,10.5,42580,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Psychiatric technicians,29-2053,144.5,173.3,28.9,20,15.9,42590,Postsecondary nondegree award,5,Less than 5 years,2,Short-term on-the-job training,5
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,20.7,20.8,0.1,0.6,2.4,42730,No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Metal workers and plastic workers, all other",51-4199,20.4,18.5,-1.9,-9.5,1.7,42750,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Customer service representatives,43-4051,2814,2660.3,-153.7,-5.5,341.7,42830,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Crematory operators,39-4012,3.1,3.2,0.1,3.3,0.6,42880,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Shipping, receiving, and inventory clerks",43-5071,862.2,795.8,-66.3,-7.7,69.3,43190,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Grounds maintenance workers, all other",37-3019,14.1,14.5,0.3,2.4,1.9,43410,No formal educational credential,8,None,4,Short-term on-the-job training,5
Pharmacy technicians,29-2052,490.4,521.8,31.5,6.4,49,43460,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Office clerks, general",43-9061,2646,2468.2,-177.8,-6.7,282.4,43630,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Phlebotomists,31-9097,139.7,147.5,7.9,5.6,18.4,43660,Postsecondary nondegree award,5,None,4,None,6
Forest and conservation workers,45-4011,10.8,10.3,-0.5,-4.7,2,43680,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Interviewers, except eligibility and loan",43-4111,164.3,145.1,-19.1,-11.6,15.8,43830,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Gambling surveillance officers and gambling investigators,33-9031,10.3,10.3,0,0.3,1.3,43900,High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,261.4,273.3,11.9,4.6,29.6,44040,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Ophthalmic medical technicians,29-2057,78.8,94.4,15.6,19.8,12.5,44080,Postsecondary nondegree award,5,None,4,None,6
Light truck drivers,53-3033,1079.8,1158.6,78.9,7.3,120.2,44140,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Medical assistants,31-9092,811,912.2,101.2,12.5,112.3,44200,Postsecondary nondegree award,5,None,4,None,6
"Cooks, private household",35-2013,34.2,36,1.7,5.1,5.3,44530,Postsecondary nondegree award,5,Less than 5 years,2,None,6
Medical secretaries and administrative assistants,43-6013,850,885.3,35.3,4.2,85.9,44640,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Order clerks,43-4151,89.5,74.1,-15.4,-17.2,8,44660,"Some college, no degree",6,None,4,Short-term on-the-job training,5
Pest control workers,37-2021,102.4,107.5,5.1,4.9,13.4,44730,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Legislators,11-1031,27.7,28.6,0.9,3.4,2.2,44810,Bachelor's degree,3,Less than 5 years,2,None,6
"Teaching assistants, postsecondary",25-9044,193.6,199.6,6,3.1,24.6,44930,Bachelor's degree,3,None,4,None,6
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,15.2,15,-0.2,-1.1,2,44980,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Social and human service assistants,21-1093,449.6,478.5,28.9,6.4,50.6,45120,High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Religious workers, all other",21-2099,88.4,89,0.6,0.6,11.1,45120,Bachelor's degree,3,None,4,None,6
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,57.3,58.4,1.1,2,5.2,45130,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Printing press operators,51-5112,150.2,138,-12.2,-8.1,13.7,45160,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,70.1,61.7,-8.4,-12,5.5,45190,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,29.6,30.7,1.1,3.8,4.1,45200,High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
