,description,isco_08_4dg,rti_mihaylov_2019,isco_08_3dg,isco_08_2dg,isco_88_3dg,isco_88_2dg,rti_isco_88_2dg_mahutga_2018,ofs_isco_88_2dg_mahutga_2018,ss_isco_88_2dg_pp_x_2019,oesch_class_num,oesch_class_chr16,oesch_class_chr8,greenness,brownness,brown_dummy,greenness_title,greenness_source,brownness_source,brown_dummy_source,greenness_original,brownness_original,greenness_imputed,brownness_imputed
23,Social welfare managers,1344,-1,134,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2264419,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2264419,0.0,TRUE,TRUE
24,Education managers,1345,-1,134,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.2264419,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2264419,0.0,TRUE,TRUE
25,Financial and insurance services branch managers,1346,-0.6923077,134,13,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.0566944,0,0,Financial and insurance services branch managers,observed,observed,observed,0.0566944,0,FALSE,FALSE
26,Professional services managers not elsewhere classified,1349,-1,134,13,832,83,-1.39680562410655,-0.828081073890614,2.2023261827133,9,Higher-grade managers,(Associate) managers,0.3961895,0,0,Professional services managers n.e.c.,observed,observed,observed,0.3961895,0,FALSE,FALSE
27,Hotel managers,1411,-0.6666667,141,14,131,13,-1.42373583597295,-0.453091280476857,0.98522450232098,10,Lower grade managers,(Associate) managers,0.1557418,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1557418,0.0,TRUE,TRUE
28,Restaurant managers,1412,-0.5,141,14,131,13,-1.42373583597295,-0.453091280476857,0.98522450232098,10,Lower grade managers,(Associate) managers,0.1557418,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.1557418,0.0,TRUE,TRUE
29,Retail and wholesale trade managers,1420,-0.4285715,142,14,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,10,Lower grade managers,(Associate) managers,0.1133889,0,0,Retail and wholesale trade managers,observed,observed,observed,0.1133889,0,FALSE,FALSE
30,"Sports, recreation and cultural centre managers",1431,-0.5,143,14,346,34,-0.325753644613277,0.310392109289678,1.27626112821775,10,Lower grade managers,(Associate) managers,0.1980947,0,0,"Sports, recreation and cultural centre managers",observed,observed,observed,0.1980947,0,FALSE,FALSE
31,Physicists and astronomers,2111,-0.8333333,211,21,211,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.05,0,0,Physicists and astronomers,observed,observed,observed,0.05,0,FALSE,FALSE
32,Meteorologists,2112,-1,211,21,211,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.4329176,0,0,Meteorologists,observed,observed,observed,0.4329176,0,FALSE,FALSE
33,Chemists,2113,-1,211,21,211,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0,0.5,1,Chemists,observed,observed,observed,0,0.5,FALSE,FALSE
34,Geologists and geophysicists,2114,-1,211,21,211,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.2149376,1,1,Geologists and geophysicists,observed,observed,observed,0.2149376,1,FALSE,FALSE
35,"Mathematicians, actuaries and statisticians",2120,-1,212,21,212,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.2492502,0.1805556,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.2492502,0.1805556,TRUE,TRUE
36,"Biologists, botanists, zoologists and related professionals",2131,-0.7777778,213,21,221,22,-0.902419754244881,-0.586688382164884,1.00787978287087,5,Technical experts,Technical (semi-) professionals,0.0690929,0.1111111,0,"Biologists, botanists, zoologists and related professionals",observed,observed,observed,0.0690929,0.1111111,FALSE,FALSE
37,"Farming, forestry and fisheries advisers",2132,-1,213,21,221,22,-0.902419754244881,-0.586688382164884,1.00787978287087,5,Technical experts,Technical (semi-) professionals,0.2072786,0,0,"Farming, forestry and fisheries advisers",observed,observed,observed,0.2072786,0,FALSE,FALSE
38,Environmental protection professionals,2133,-1,213,21,221,22,-0.902419754244881,-0.586688382164884,1.00787978287087,5,Technical experts,Technical (semi-) professionals,1,0,0,Environmental protection professionals,observed,observed,observed,1,0,FALSE,FALSE
39,Industrial and production engineers,2141,-1,214,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.05,0,0,Industrial and production engineers,observed,observed,observed,0.05,0,FALSE,FALSE
40,Civil engineers,2142,-1,214,21,247,24,-0.628653910419333,0.423095977573758,1.02667464718567,5,Technical experts,Technical (semi-) professionals,0.3267401,0,0,Civil engineers,observed,observed,observed,0.3267401,0,FALSE,FALSE
41,Environmental engineers,2143,-1,214,21,221,22,-0.902419754244881,-0.586688382164884,1.00787978287087,5,Technical experts,Technical (semi-) professionals,1,0,0,Environmental engineers,observed,observed,observed,1,0,FALSE,FALSE
42,Mechanical engineers,2144,-1,214,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.2947051,0,0,Mechanical engineers,observed,observed,observed,0.2947051,0,FALSE,FALSE
43,Chemical engineers,2145,-0.7777778,214,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0,1,1,Chemical engineers,observed,observed,observed,0,1,FALSE,FALSE
44,"Mining engineers, metallurgists and related professionals",2146,-1,214,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0,1,1,"Mining engineers, metallurgists and related professionals",observed,observed,observed,0,1,FALSE,FALSE
45,Engineering professionals not elsewhere classified,2149,-1,214,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.1423095,0,0,Engineering professionals n.e.c.,observed,observed,observed,0.1423095,0,FALSE,FALSE
46,Electrical engineers,2151,-0.7777778,215,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.1606959,0,0,Electrical engineers,observed,observed,observed,0.1606959,0,FALSE,FALSE
47,Electronics engineers,2152,-1,215,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0491788,0,0,Electronics engineers,observed,observed,observed,0.0491788,0,FALSE,FALSE
48,Telecommunications engineers,2153,-1,215,21,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0983575,0,0,Telecommunications engineers,observed,observed,observed,0.0983575,0,FALSE,FALSE
49,Building architects,2161,-1,216,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.2682825,0,0,Building architects,observed,observed,observed,0.2682825,0,FALSE,FALSE
50,Landscape architects,2162,-1,216,21,611,61,0.108635999204958,-0.830886818066944,1.10102127787543,5,Technical experts,Technical (semi-) professionals,0.260082,0,0,Landscape architects,observed,observed,observed,0.260082,0,FALSE,FALSE
51,Product and garment designers,2163,-1,216,21,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.2962638,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2962638,0.0,TRUE,TRUE
52,Town and traffic planners,2164,-1,216,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.3604269,0,0,Town and traffic planners,observed,observed,observed,0.3604269,0,FALSE,FALSE
53,Cartographers and surveyors,2165,-1,216,21,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.2962638,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2962638,0.0,TRUE,TRUE
54,Graphic and multimedia designers,2166,-1,216,21,347,34,-0.325753644613277,0.310392109289678,1.27626112821775,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.2962638,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2962638,0.0,TRUE,TRUE
55,Generalist medical practitioners,2211,-0.75,221,22,222,22,-0.902419754244881,-0.586688382164884,1.00787978287087,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
56,Specialist medical practitioners,2212,-0.7333333,221,22,222,22,-0.902419754244881,-0.586688382164884,1.00787978287087,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
57,Nursing professionals,2221,-1,222,22,323,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
58,Midwifery professionals,2222,-0.7777778,222,22,323,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
59,Traditional and complementary medicine professionals,2230,-0.7777778,223,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
60,Paramedical practitioners,2240,-0.8181818,224,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
61,Veterinarians,2250,-0.8,225,22,222,22,-0.902419754244881,-0.586688382164884,1.00787978287087,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
62,Dentists,2261,-1,226,22,222,22,-0.902419754244881,-0.586688382164884,1.00787978287087,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
63,Pharmacists,2262,-0.4285714,226,22,222,22,-0.902419754244881,-0.586688382164884,1.00787978287087,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
64,Environmental and occupational health and hygiene professionals,2263,-1,226,22,222,22,-0.902419754244881,-0.586688382164884,1.00787978287087,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1,0,0,Environmental and occupational health and hygiene professionals,observed,observed,observed,1,0,FALSE,FALSE
65,Physiotherapists,2264,-0.7777778,226,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
66,Dieticians and nutritionists,2265,-1,226,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
67,Audiologists and speech therapists,2266,-1,226,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
68,Optometrists and ophthalmic opticians,2267,-0.7777778,226,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
69,Health professionals not elsewhere classified,2269,-1,226,22,322,32,-0.226698444366167,-0.573422569497196,1.24747547111,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,1.0,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,1.0,0.0,TRUE,TRUE
70,University and higher education teachers,2310,-1,231,23,231,23,-1.45832554918283,-0.697810454188653,1.05093159452176,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
71,Vocational education teachers,2320,-0.8333333,232,23,232,23,-1.45832554918283,-0.697810454188653,1.05093159452176,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
72,Secondary education teachers,2330,-1,233,23,232,23,-1.45832554918283,-0.697810454188653,1.05093159452176,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
73,Primary school teachers,2341,-1,234,23,233,23,-1.45832554918283,-0.697810454188653,1.05093159452176,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
74,Early childhood educators,2342,-1,234,23,333,33,-1.36796958306256,-0.64621617233052,1.15405543074471,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
75,Education methods specialists,2351,-1,235,23,235,23,-1.45832554918283,-0.697810454188653,1.05093159452176,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
76,Special needs teachers,2352,-0.8461539,235,23,333,33,-1.36796958306256,-0.64621617233052,1.15405543074471,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
77,Other language teachers,2353,-1,235,23,235,23,-1.45832554918283,-0.697810454188653,1.05093159452176,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
78,Other music teachers,2354,-1,235,23,235,23,-1.45832554918283,-0.697810454188653,1.05093159452176,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
79,Other arts teachers,2355,-1,235,23,231,23,-1.45832554918283,-0.697810454188653,1.05093159452176,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
80,Information technology trainers,2356,-1,235,23,235,23,-1.45832554918283,-0.697810454188653,1.05093159452176,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.0862385,0,0,Information technology trainers,observed,observed,observed,0.0862385,0,FALSE,FALSE
81,Teaching professionals not elsewhere classified,2359,-1,235,23,334,33,-1.36796958306256,-0.64621617233052,1.15405543074471,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.0862385,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0862385,0.0,TRUE,TRUE
82,Accountants,2411,-0.6363636,241,24,241,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.111794,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.111794,0.0,TRUE,TRUE
83,Financial and investment advisers,2412,-0.6666667,241,24,241,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.1563042,0,0,Financial and investment advisers,observed,observed,observed,0.1563042,0,FALSE,FALSE
84,Financial analysts,2413,-1,241,24,122,12,-0.67163800103752,-0.140421076398523,0.946403889761568,9,Higher-grade managers,(Associate) managers,0.0672838,0,0,Financial analysts,observed,observed,observed,0.0672838,0,FALSE,FALSE
85,Management and organization analysts,2421,-1,242,24,247,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.2097859,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2097859,0.0,TRUE,TRUE
86,Policy administration professionals,2422,-1,242,24,247,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.3333333,0,0,Policy administration professionals,observed,observed,observed,0.3333333,0,FALSE,FALSE
87,Personnel and careers professionals,2423,-1,242,24,241,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.2097859,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.2097859,0.0,TRUE,TRUE
88,Training and staff development professionals,2424,-1,242,24,241,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.0862385,0,0,Training and staff development professionals,observed,observed,observed,0.0862385,0,FALSE,FALSE
89,Advertising and marketing professionals,2431,-1,243,24,241,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.107672,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.107672,0.0,TRUE,TRUE
90,Public relations professionals,2432,-1,243,24,241,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.2130159,0,0,Public relations professionals,observed,observed,observed,0.2130159,0,FALSE,FALSE
91,Technical and medical sales professionals (excluding ICT),2433,-0.8666667,243,24,214,21,-0.724701226132733,1.29575161625455,1.00587240138991,10,Lower grade managers,(Associate) managers,0.055,0,0,Technical and medical sales professionals (excluding ICT),observed,observed,observed,0.055,0,FALSE,FALSE
92,Information and communications technology sales professionals,2434,-0.5,243,24,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,10,Lower grade managers,(Associate) managers,0.055,0,0,Information and communications technology sales professionals,observed,observed,observed,0.055,0,FALSE,FALSE
93,Systems analysts,2511,-1,251,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0061315,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0061315,0.0,TRUE,TRUE
94,Software developers,2512,-1,251,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0061315,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0061315,0.0,TRUE,TRUE
95,Web and multimedia developers,2513,-1,251,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0061315,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0061315,0.0,TRUE,TRUE
96,Applications programmers,2514,-1,251,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0061315,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0061315,0.0,TRUE,TRUE
97,Software and applications developers and analysts not elsewhere classified,2519,-0.2,251,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0061315,0,0,Software and applications developers and analysts n.e.c.,observed,observed,observed,0.0061315,0,FALSE,FALSE
98,Database designers and administrators,2521,-1,252,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0030657,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0030657,0.0,TRUE,TRUE
99,Systems administrators,2522,-0.3333333,252,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0030657,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0030657,0.0,TRUE,TRUE
100,Computer network professionals,2523,-0.7777778,252,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0030657,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0030657,0.0,TRUE,TRUE
101,Database and network professionals not elsewhere classified,2529,-1,252,25,213,21,-0.724701226132733,1.29575161625455,1.00587240138991,5,Technical experts,Technical (semi-) professionals,0.0030657,0,0,Database and network professionals n.e.c.,observed,observed,observed,0.0030657,0,FALSE,FALSE
102,Lawyers,2611,-1,261,26,242,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.0382507,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0382507,0.0,TRUE,TRUE
103,Judges,2612,-1,261,26,242,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.0382507,0.0,0,,imputed_3dg,imputed_3dg,computed_from_brownness,0.0382507,0.0,TRUE,TRUE
104,Legal professionals not elsewhere classified,2619,-0.5,261,26,242,24,-0.628653910419333,0.423095977573758,1.02667464718567,9,Higher-grade managers,(Associate) managers,0.0382507,0,0,Legal professionals n.e.c.,observed,observed,observed,0.0382507,0,FALSE,FALSE
105,Archivists and curators,2621,-0.8461539,262,26,243,24,-0.628653910419333,0.423095977573758,1.02667464718567,13,Socio-cultural professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
106,Librarians and related information professionals,2622,-0.6363636,262,26,243,24,-0.628653910419333,0.423095977573758,1.02667464718567,14,Socio-cultural semi-professionals,Socio-cultural (semi-)professionals,0.034177,0.0,0,,imputed_2dg,imputed_2dg,computed_from_brownness,0.034177,0.0,TRUE,TRUE
