hazard_context,job_zone,onet_soc2018_code,onet_soc2018_title
53,2,51-2031.00,Engine and Other Machine Assemblers
53,3,49-3051.00,Motorboat Mechanics and Service Technicians
53,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
53,3,19-4051.02,Nuclear Monitoring Technicians
53,2,51-2041.00,Structural Metal Fabricators and Fitters
52,3,53-6051.01,Aviation Inspectors
52,4,11-3051.04,Biomass Power Plant Managers
52,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
52,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
52,3,47-4041.00,Hazardous Materials Removal Workers
52,2,49-9031.00,Home Appliance Repairers
52,3,17-3027.00,Mechanical Engineering Technologists and Technicians
52,2,49-3092.00,Recreational Vehicle Service Technicians
52,3,47-2152.04,Solar Thermal Installers and Technicians
51,3,31-9091.00,Dental Assistants
51,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
51,4,19-2032.00,Materials Scientists
51,5,19-1029.02,Molecular and Cellular Biologists
51,5,29-1222.00,"Physicians, Pathologists"
51,3,29-2056.00,Veterinary Technologists and Technicians
50,4,29-1141.01,Acute Care Nurses
50,2,53-6031.00,Automotive and Watercraft Service Attendants
50,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
50,5,19-1029.03,Geneticists
50,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
50,2,53-5022.00,Motorboat Operators
50,3,19-5012.00,Occupational Health and Safety Technicians
50,2,49-9096.00,Riggers
50,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
49,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
49,3,19-4012.00,Agricultural Technicians
49,3,53-2022.00,Airfield Operations Specialists
49,2,33-9011.00,Animal Control Workers
49,2,51-7011.00,Cabinetmakers and Bench Carpenters
49,3,13-1041.06,Coroners
49,3,33-3051.04,Customs and Border Protection Officers
49,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
49,5,29-1024.00,Prosthodontists
49,2,47-2211.00,Sheet Metal Workers
49,3,49-9097.00,Signal and Track Switch Repairers
48,2,51-2023.00,Electromechanical Equipment Assemblers
48,4,17-3025.00,Environmental Engineering Technologists and Technicians
48,2,45-4011.00,Forest and Conservation Workers
48,4,17-2131.00,Materials Engineers
48,4,17-2199.11,Solar Energy Systems Engineers
48,2,37-3013.00,Tree Trimmers and Pruners
47,3,49-9092.00,Commercial Divers
47,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
47,2,47-3016.00,Helpers--Roofers
47,3,31-9097.00,Phlebotomists
47,3,33-3051.00,Police and Sheriff's Patrol Officers
46,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
46,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
46,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
46,3,17-3026.00,Industrial Engineering Technologists and Technicians
46,2,49-9095.00,Manufactured Building and Mobile Home Installers
46,2,47-2141.00,"Painters, Construction and Maintenance"
46,1,47-5051.00,"Rock Splitters, Quarry"
46,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
46,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
46,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
46,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
45,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
45,5,29-1211.00,Anesthesiologists
45,3,49-2097.00,Audiovisual Equipment Installers and Repairers
45,4,19-4021.00,Biological Technicians
45,4,17-2041.00,Chemical Engineers
45,2,51-9162.00,Computer Numerically Controlled Tool Programmers
45,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
45,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
45,2,51-4052.00,"Pourers and Casters, Metal"
45,3,29-1126.00,Respiratory Therapists
44,3,33-3021.00,Detectives and Criminal Investigators
44,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
44,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
44,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
44,3,51-8011.00,Nuclear Power Reactor Operators
44,4,19-5011.00,Occupational Health and Safety Specialists
44,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
44,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
44,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
44,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
43,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
43,2,51-3093.00,Food Cooking Machine Operators and Tenders
43,2,43-5041.00,"Meter Readers, Utilities"
43,5,11-9121.00,Natural Sciences Managers
43,5,29-1151.00,Nurse Anesthetists
43,2,47-4099.03,Weatherization Installers and Technicians
42,2,47-2031.00,Carpenters
42,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
42,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
42,4,17-2121.00,Marine Engineers and Naval Architects
42,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
41,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
41,2,51-9194.00,Etchers and Engravers
41,2,49-9011.00,Mechanical Door Repairers
41,4,17-2199.08,Robotics Engineers
41,4,53-6051.00,Transportation Inspectors
41,2,33-9093.00,Transportation Security Screeners
40,2,47-2061.00,Construction Laborers
40,4,11-9021.00,Construction Managers
40,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
40,3,29-2099.01,Neurodiagnostic Technologists
40,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
40,2,47-2072.00,Pile Driver Operators
40,4,11-3051.01,Quality Control Systems Managers
39,2,51-9161.00,Computer Numerically Controlled Tool Operators
39,4,29-1141.03,Critical Care Nurses
39,5,29-1021.00,"Dentists, General"
39,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
39,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
39,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
39,1,45-4021.00,Fallers
39,3,33-2021.00,Fire Inspectors and Investigators
39,3,19-4071.00,Forest and Conservation Technicians
39,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
39,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
39,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
39,2,51-2092.00,Team Assemblers
38,3,19-4092.00,Forensic Science Technicians
38,2,47-2121.00,Glaziers
38,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
38,2,47-2132.00,"Insulation Workers, Mechanical"
38,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
38,3,33-3021.02,Police Identification and Records Officers
38,3,51-8012.00,Power Distributors and Dispatchers
38,5,29-1229.03,Urologists
37,3,53-7021.00,Crane and Tower Operators
37,3,11-3013.00,Facilities Managers
37,2,33-1012.00,First-Line Supervisors of Police and Detectives
37,2,31-1132.00,Orderlies
37,3,29-1124.00,Radiation Therapists
37,2,33-9032.00,Security Guards
36,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
36,2,47-2142.00,Paperhangers
36,2,51-5113.00,Print Binding and Finishing Workers
36,5,19-1013.00,Soil and Plant Scientists
35,5,25-1042.00,"Biological Science Teachers, Postsecondary"
35,3,29-2051.00,Dietetic Technicians
35,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
35,2,47-4051.00,Highway Maintenance Workers
35,5,29-1241.00,"Ophthalmologists, Except Pediatric"
35,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
34,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
34,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
34,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
34,3,29-2034.00,Radiologic Technologists and Technicians
33,2,39-2021.00,Animal Caretakers
33,2,49-3091.00,Bicycle Repairers
33,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
33,5,29-1022.00,Oral and Maxillofacial Surgeons
33,2,51-6042.00,Shoe Machine Operators and Tenders
32,5,29-1141.04,Clinical Nurse Specialists
32,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
32,2,53-7031.00,Dredge Operators
32,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
32,2,35-2021.00,Food Preparation Workers
32,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
32,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
32,3,49-9063.00,Musical Instrument Repairers and Tuners
32,3,19-4012.01,Precision Agriculture Technicians
32,2,53-1042.01,Recycling Coordinators
31,4,17-2021.00,Agricultural Engineers
31,2,45-2011.00,Agricultural Inspectors
31,2,53-1041.00,Aircraft Cargo Handling Supervisors
31,4,17-2071.00,Electrical Engineers
31,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
31,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
31,2,51-3092.00,Food Batchmakers
31,3,29-2033.00,Nuclear Medicine Technologists
31,2,47-2022.00,Stonemasons
31,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
30,3,27-4011.00,Audio and Video Technicians
30,3,49-9061.00,Camera and Photographic Equipment Repairers
30,3,47-4011.00,Construction and Building Inspectors
30,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
30,4,33-3031.00,Fish and Game Wardens
30,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
30,4,11-3051.00,Industrial Production Managers
30,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
30,1,37-2012.00,Maids and Housekeeping Cleaners
30,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
30,2,51-6093.00,Upholsterers
29,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
29,5,29-1213.00,Dermatologists
29,1,45-3031.00,Fishing and Hunting Workers
29,2,47-3012.00,Helpers--Carpenters
29,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
29,5,29-1171.00,Nurse Practitioners
29,3,51-4062.00,"Patternmakers, Metal and Plastic"
29,1,47-2151.00,Pipelayers
29,5,29-1081.00,Podiatrists
28,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
28,3,29-1292.00,Dental Hygienists
28,4,13-1041.01,Environmental Compliance Inspectors
28,4,19-1012.00,Food Scientists and Technologists
28,2,51-9198.00,Helpers--Production Workers
28,1,37-3011.00,Landscaping and Groundskeeping Workers
28,1,51-6011.00,Laundry and Dry-Cleaning Workers
28,4,17-2112.03,Manufacturing Engineers
28,4,17-2161.00,Nuclear Engineers
28,1,47-2161.00,Plasterers and Stucco Masons
28,3,39-5094.00,Skincare Specialists
28,3,49-9064.00,Watch and Clock Repairers
27,2,51-2021.00,"Coil Winders, Tapers, and Finishers"
27,3,33-1011.00,First-Line Supervisors of Correctional Officers
27,3,31-9092.00,Medical Assistants
27,5,17-2199.06,Microsystems Engineers
27,4,17-2199.07,Photonics Engineers
27,3,49-2098.00,Security and Fire Alarm Systems Installers
27,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
26,2,35-2015.00,"Cooks, Short Order"
26,5,29-1214.00,Emergency Medicine Physicians
26,5,25-1032.00,"Engineering Teachers, Postsecondary"
26,4,17-2111.02,Fire-Prevention and Protection Engineers
26,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
26,2,53-7064.00,"Packers and Packagers, Hand"
26,2,51-2061.00,Timing Device Assemblers and Adjusters
25,2,33-3012.00,Correctional Officers and Jailers
25,2,43-5021.00,Couriers and Messengers
25,3,17-3012.00,Electrical and Electronics Drafters
25,4,17-2072.00,"Electronics Engineers, Except Computer"
25,4,17-2081.00,Environmental Engineers
25,2,47-4031.00,Fence Erectors
25,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
25,2,53-3033.00,Light Truck Drivers
25,3,31-9094.00,Medical Transcriptionists
25,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
25,4,25-4013.00,Museum Technicians and Conservators
25,2,53-7062.04,Recycling and Reclamation Workers
25,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
25,4,17-1022.00,Surveyors
25,3,51-4111.00,Tool and Die Makers
24,2,53-3051.00,"Bus Drivers, School"
24,1,47-2051.00,Cement Masons and Concrete Finishers
24,4,13-1041.00,Compliance Officers
24,3,47-4011.01,Energy Auditors
24,5,29-1215.00,Family Medicine Physicians
24,2,51-9022.00,"Grinding and Polishing Workers, Hand"
24,2,53-7051.00,Industrial Truck and Tractor Operators
24,5,29-1161.00,Nurse Midwives
24,4,17-2171.00,Petroleum Engineers
24,5,29-1071.00,Physician Assistants
24,4,17-2112.02,Validation Engineers
23,5,19-1011.00,Animal Scientists
23,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
23,2,47-2041.00,Carpet Installers
23,3,27-1012.00,Craft Artists
23,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
23,4,17-2112.00,Industrial Engineers
23,3,13-1032.00,"Insurance Appraisers, Auto Damage"
23,3,29-2035.00,Magnetic Resonance Imaging Technologists
23,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
23,4,19-1031.02,Range Managers
23,2,47-4091.00,Segmental Pavers
23,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
22,5,19-1029.04,Biologists
22,4,11-9161.00,Emergency Management Directors
22,2,53-7063.00,Machine Feeders and Offbearers
22,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
22,4,27-2012.05,Media Technical Directors/Managers
22,2,41-2022.00,Parts Salespersons
22,3,51-7032.00,"Patternmakers, Wood"
22,4,11-3013.01,Security Managers
22,5,27-1027.00,Set and Exhibit Designers
22,4,19-1023.00,Zoologists and Wildlife Biologists
21,4,17-2011.00,Aerospace Engineers
21,2,43-5011.00,Cargo and Freight Agents
21,1,53-7011.00,Conveyor Operators and Tenders
21,2,35-2014.00,"Cooks, Restaurant"
21,3,39-1022.00,First-Line Supervisors of Personal Service Workers
21,5,29-1229.02,Hospitalists
21,2,39-5092.00,Manicurists and Pedicurists
21,4,17-2199.05,Mechatronics Engineers
21,3,29-2057.00,Ophthalmic Medical Technicians
21,3,29-2052.00,Pharmacy Technicians
20,4,17-2141.02,Automotive Engineers
20,2,53-6011.00,Bridge and Lock Tenders
20,3,17-3022.00,Civil Engineering Technologists and Technicians
20,2,35-2012.00,"Cooks, Institution and Cafeteria"
20,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
20,3,13-1041.04,Government Property Inspectors and Investigators
20,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
20,3,51-5111.00,Prepress Technicians and Workers
20,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
20,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
19,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
19,4,17-2031.00,Bioengineers and Biomedical Engineers
19,3,27-4012.00,Broadcast Technicians
19,2,39-3092.00,Costume Attendants
19,2,47-2081.00,Drywall and Ceiling Tile Installers
19,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
19,4,13-1081.00,Logisticians
19,4,17-2141.00,Mechanical Engineers
19,5,29-1218.00,Obstetricians and Gynecologists
19,5,29-1221.00,"Pediatricians, General"
19,3,31-2021.00,Physical Therapist Assistants
19,5,25-1054.00,"Physics Teachers, Postsecondary"
19,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
19,2,53-7081.00,Refuse and Recyclable Material Collectors
19,5,25-9044.00,"Teaching Assistants, Postsecondary"
19,3,53-6041.00,Traffic Technicians
19,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
18,2,39-9011.00,Childcare Workers
18,5,25-9021.00,Farm and Home Management Educators
18,4,19-1032.00,Foresters
18,3,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
18,4,13-1081.02,Logistics Analysts
18,3,51-4041.00,Machinists
18,4,17-2051.02,Water/Wastewater Engineers
17,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
17,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
17,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
17,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
17,3,17-3013.00,Mechanical Drafters
17,5,29-1023.00,Orthodontists
17,5,29-1051.00,Pharmacists
17,3,51-9195.05,"Potters, Manufacturing"
17,4,29-1141.00,Registered Nurses
17,4,13-1199.07,Security Management Specialists
17,3,41-4011.07,Solar Sales Representatives and Assessors
17,2,47-2082.00,Tapers
16,3,29-2031.00,Cardiovascular Technologists and Technicians
16,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
16,4,21-1094.00,Community Health Workers
16,2,13-1074.00,Farm Labor Contractors
16,4,13-1081.01,Logistics Engineers
16,5,29-9099.01,Midwives
16,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
16,2,43-4151.00,Order Clerks
16,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
16,3,39-7011.00,Tour Guides and Escorts
16,4,11-9121.02,Water Resource Specialists
15,3,27-4031.00,"Camera Operators, Television, Video, and Film"
15,4,15-1241.00,Computer Network Architects
15,2,53-3031.00,Driver/Sales Workers
15,5,19-2043.00,Hydrologists
15,2,49-9094.00,Locksmiths and Safe Repairers
15,2,51-9083.00,Ophthalmic Laboratory Technicians
15,2,31-2022.00,Physical Therapist Aides
15,5,29-1229.05,Preventive Medicine Physicians
15,2,51-6041.00,Shoe and Leather Workers and Repairers
15,2,39-7012.00,Travel Guides
14,2,45-2021.00,Animal Breeders
14,5,11-9041.00,Architectural and Engineering Managers
14,2,49-3022.00,Automotive Glass Installers and Repairers
14,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
14,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
14,2,43-9071.00,"Office Machine Operators, Except Computer"
14,2,43-5051.00,Postal Service Clerks
14,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
14,4,17-2051.01,Transportation Engineers
13,2,39-2011.00,Animal Trainers
13,4,19-1031.00,Conservation Scientists
13,5,25-4012.00,Curators
13,3,29-2032.00,Diagnostic Medical Sonographers
13,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
13,2,39-4021.00,Funeral Attendants
13,5,17-2112.01,Human Factors Engineers and Ergonomists
13,4,11-9199.08,Loss Prevention Managers
13,4,39-9032.00,Recreation Workers
13,3,15-1241.01,Telecommunications Engineering Specialists
13,2,47-2044.00,Tile and Stone Setters
12,2,51-3011.00,Bakers
12,4,15-2099.01,Bioinformatics Technicians
12,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
12,4,17-2051.00,Civil Engineers
12,3,35-2013.00,"Cooks, Private Household"
